 -1.148624546 -1.148583343 -1.148605233 -1.148694616 -1.148668613 -1.148667991 -1.148644123 -1.148625356 -1.148804236 -1.148775020
 -1.149542721 -1.149484550 -1.149672872 -1.149536982 -1.149617558 -1.149551725 -1.149649187 -1.149637929 -1.149535077 -1.149647351
 -1.150098290 -1.150025984 -1.149982954 -1.150065602 -1.150074931 -1.150043264 -1.150075520 -1.149966958 -1.150047288 -1.150029075
 -1.150374241 -1.150408025 -1.150326799 -1.150347226 -1.150281759 -1.150302906 -1.150344125 -1.150408124 -1.150404277 -1.150303554
 -1.150511205 -1.150603260 -1.150617120 -1.150631045 -1.150485306 -1.150651408 -1.150495849 -1.150493330 -1.150597886 -1.150501985
 -1.150627479 -1.150652343 -1.150582445 -1.150674623 -1.150704995 -1.150726254 -1.150733028 -1.150628372 -1.150686977 -1.150661759
 -1.150662928 -1.150699132 -1.150667600 -1.150854953 -1.150768696 -1.150792120 -1.150812988 -1.150772227 -1.150767182 -1.150748561
 -1.150883949 -1.150797428 -1.150803084 -1.150829651 -1.150801495 -1.150820929 -1.150816072 -1.150892562 -1.150864244 -1.150794988
 -1.150744282 -1.150899921 -1.150887929 -1.150922563 -1.150978334 -1.150788289 -1.150878095 -1.150861938 -1.150951738 -1.150868274
 -1.150903015 -1.150850802 -1.150893198 -1.150929306 -1.150911861 -1.150869507 -1.150858089 -1.150902829 -1.150808990 -1.150877366
 -1.150802663 -1.150997057 -1.150940300 -1.150861460 -1.150901773 -1.151017344 -1.150902203 -1.150875699 -1.150912469 -1.150899280
 -1.150860823 -1.150853250 -1.150937049 -1.151009555 -1.150968016 -1.150923818 -1.150929037 -1.151102497 -1.150989811 -1.150957265
 -1.150955211 -1.150897615 -1.150954075 -1.151040757 -1.151048789 -1.151021462 -1.150985515 -1.150941496 -1.150906237 -1.150842800
 -1.151050034 -1.150932963 -1.150990305 -1.150888880 -1.151045330 -1.151008217 -1.151000344 -1.150947607 -1.150875051 -1.150961686
 -1.150974085 -1.150975363 -1.151032123 -1.150961391 -1.151019650 -1.150968502 -1.151047929 -1.151037477 -1.150944404 -1.151023181
 -1.150999703 -1.150865552 -1.150951465 -1.151026091 -1.151039665 -1.151115440 -1.150987722 -1.151051595 -1.151038331 -1.150984067
 -1.150973684 -1.151009819 -1.151018093 -1.151040537 -1.150954751 -1.151057348 -1.151019357 -1.151026414 -1.150993009 -1.150956194
 -1.150978011 -1.151004244 -1.151001846 -1.150928799 -1.151100541 -1.151049529 -1.151042337 -1.151044667 -1.150914731 -1.150915857
 -1.151013908 -1.150939589 -1.151016650 -1.151012936 -1.151078726 -1.151098362 -1.151027798 -1.151082582 -1.150943683 -1.150959864
 -1.150980597 -1.150994524 -1.151023847 -1.150959419 -1.151160693 -1.151033074 -1.150996728 -1.151033263 -1.150958422 -1.150910508
 -1.151025140 -1.151042301 -1.150993174 -1.150919197 -1.150970635 -1.151031211 -1.151058003 -1.151019359 -1.150962157 -1.151053865
 -1.151049118 -1.151082399 -1.150979621 -1.151120375 -1.151014717 -1.151077554 -1.150967540 -1.151034824 -1.151059244 -1.150943789
 -1.150900344 -1.151062269 -1.151028685 -1.151093006 -1.150983760 -1.150974168 -1.150925156 -1.151038299 -1.150998303 -1.151041329
 -1.150988822 -1.151037557 -1.151014831 -1.151124911 -1.151112287 -1.151179308 -1.151037021 -1.151052214 -1.150976581 -1.150921770
 -1.150969091 -1.151086282 -1.151046583 -1.151094070 -1.151027482 -1.150997506 -1.151044133 -1.151013773 -1.150967837 -1.150961993
